"","model1_ASC_t","model1_DES_t","model2_ASC_t","model2_DES_t","model3_ASC_t","model3_DES_t","model4_ASC_t","model4_DES_t","model1_ASC_P","model1_DES_P","model2_ASC_P","model2_DES_P","model3_ASC_P","model3_DES_P","model4_ASC_P","model4_DES_P","model1_ASC_FDR","model1_DES_FDR","model2_ASC_FDR","model2_DES_FDR","model3_ASC_FDR","model3_DES_FDR","model4_ASC_FDR","model4_DES_FDR"
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales",-3.22202551837031,-4.3076495688355,-3.11012355025974,-4.14177589982804,-3.35296547428632,-4.17871069771792,-3.36387675149155,-4.25712455941588,0.00151807494669195,2.75265472755464e-05,0.00218950382760196,5.40623657972749e-05,0.000991590997446673,4.75575266491525e-05,0.0009658391004305,3.56295757673136e-05,0.257502310595756,0.00875344203362374,0.177512978192498,0.0171918323235334,0.263416336792932,0.0151232934744305,0.234621182955629,0.0113302050940057
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae",-2.96117963063643,-3.87432844306,-2.88769843105568,-3.75882067576894,-3.19845795364984,-3.77354450657826,-3.23659975553328,-3.85391542782234,0.00349019956014627,0.000151222576162151,0.00437934499752835,0.00023403634949941,0.00165670652071027,0.000224532420714869,0.00147560492424924,0.000169475607332457,0.257502310595756,0.024044389609782,0.197883748843505,0.0372117795704062,0.263416336792932,0.0357006548936641,0.234621182955629,0.0269466215658607
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae--g__Sutterella--__",-2.55124583049642,-3.41574266673615,-2.5318629185992,-3.32742196480322,-3.00195818269552,-3.48769593286952,-2.77771126757015,-3.25549313522016,0.0115898648106487,0.000791715440334496,0.0122415156958253,0.00107314936118362,0.00309969772723088,0.000625490617465639,0.00614178201958062,0.00138842055978764,0.279404543441817,0.0576764245089636,0.242271712762059,0.0453645112452465,0.328567959086473,0.0663020054513577,0.279012383175234,0.14717257933749
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae--g__Haemophilus--__",-1.04416023105652,-3.37840656972985,-1.07935555035295,-3.17772318687981,-1.01049715552771,-2.98681498732514,-0.617641159520054,-2.34434328542314,0.297851467358784,0.00089971767419404,0.281940508336039,0.00176180064706429,0.313736700033551,0.0032517250135797,0.53770673799583,0.0203209003153107,0.789956766372311,0.0576764245089636,0.692804565910114,0.0453645112452465,0.927489762121742,0.114513981036324,0.94213480324154,0.232202978617621
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae--g__Haemophilus",-1.04362831490581,-3.37608716947059,-1.07886193854753,-3.17554392981567,-1.00937493404417,-2.98358332249841,-0.616917058020705,-2.34197917914853,0.298096892970683,0.000906862020581189,0.282159899243772,0.00177433636127276,0.314272768595806,0.00328444936443628,0.538183038952813,0.0204455452870861,0.789956766372311,0.0576764245089636,0.692804565910114,0.0453645112452465,0.927489762121742,0.114513981036324,0.94213480324154,0.232202978617621
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae--g__Sutterella",-2.31348231517763,-3.19779572402903,-2.31643953190992,-3.16193242868499,-2.74655713229396,-3.35276038937548,-2.54333992043306,-3.11236055247572,0.0218588849491649,0.00164533913769029,0.0217135346046104,0.001854524044617,0.00669143832668292,0.000993527491711013,0.0119465460895323,0.00220804595016344,0.349624897544019,0.0634424310454148,0.305749794542836,0.0453645112452465,0.369084257794812,0.0789854355910256,0.379900165647128,0.1707957406022
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales",-1.1447172871068,-3.03813394417705,-1.16794300059662,-2.83450133015063,-1.02452244508142,-2.4833262356506,-0.672010782363609,-2.02919741204213,0.253889486499061,0.0027473880833018,0.244446162342982,0.00514280152335445,0.307088257151781,0.0140216372897644,0.502564540590444,0.0441383939029428,0.708218041286855,0.0634424310454148,0.63716294774646,0.0812384458312378,0.927489762121742,0.195926951359003,0.94213480324154,0.326880985282157
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae",-1.1447172871068,-3.03813394417705,-1.16794300059662,-2.83450133015063,-1.02452244508142,-2.4833262356506,-0.672010782363609,-2.02919741204213,0.253889486499061,0.0027473880833018,0.244446162342982,0.00514280152335445,0.307088257151781,0.0140216372897644,0.502564540590444,0.0441383939029428,0.708218041286855,0.0634424310454148,0.63716294774646,0.0812384458312378,0.927489762121742,0.195926951359003,0.94213480324154,0.326880985282157
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria",-2.94885885506088,-3.02601353393554,-3.30645016332001,-3.25246651562405,-2.74885528302055,-2.46613933330604,-2.90494025125432,-2.52560604677712,0.00362541744075002,0.00285411853824842,0.00115024100992227,0.00137844752487701,0.00664677926138416,0.014686749027795,0.00420365373119175,0.0125477000647066,0.257502310595756,0.0634424310454148,0.177512978192498,0.0453645112452465,0.369084257794812,0.195926951359003,0.279012383175234,0.210065255489436
"d__Bacteria--p__Proteobacteria",-2.91012451897346,-2.95583605241282,-3.28066918435304,-3.17301457182375,-2.73283265379415,-2.38045928014328,-2.87720711246893,-2.45611773480845,0.00408242393869121,0.00355081975121266,0.00125380709650264,0.00178898964932,0.00696385392065683,0.0184387430610721,0.00457073224189488,0.0151415889665095,0.257502310595756,0.0634424310454148,0.177512978192498,0.0453645112452465,0.369084257794812,0.196297527603193,0.279012383175234,0.210065255489436
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae--g__Streptococcus--__",-1.46514544519577,-2.94652958294677,-1.22083829443941,-2.83426015758232,-1.61147130138052,-2.93460216890202,-1.57766598723022,-2.5635459511588,0.144675533762595,0.00365411415198983,0.223818191475796,0.00514650751031483,0.108988266725499,0.00381895492583504,0.116655135049929,0.0113059343819358,0.535344875328618,0.0634424310454148,0.624334955169326,0.0812384458312378,0.654128269696307,0.114513981036324,0.691676710879827,0.210065255489436
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales",-1.62222834219409,-2.9434341293955,-1.39391275963347,-2.82951519518255,-1.70484698058493,-2.86747095505513,-1.71540445643071,-2.56445535352361,0.106554645838773,0.00368907735836881,0.165142186395086,0.00521991806678128,0.0901050440743773,0.00468138916186232,0.0882439106327612,0.0112775715423795,0.517744850821231,0.0634424310454148,0.564679734125134,0.0812384458312378,0.631608059518578,0.114513981036324,0.64705253763068,0.210065255489436
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae",-1.46476658271267,-2.93460708021983,-1.22099063279023,-2.81760254414309,-1.61576658027916,-2.9110924985163,-1.58731634121723,-2.53155445690613,0.144778802761827,0.00379047052125145,0.223760653817044,0.0054084464323361,0.108055252750789,0.00410285990850214,0.114452957908457,0.0123452839778268,0.535344875328618,0.0634424310454148,0.624334955169326,0.0812384458312378,0.654128269696307,0.114513981036324,0.691676710879827,0.210065255489436
